symbol,company_name,sector
ADANIPORTS,Adani Ports & SEZ,Infrastructure
ASIANPAINT,Asian Paints,Consumer Goods
AXISBANK,Axis Bank,Financial Services
BAJAJ-AUTO,Bajaj Auto,Automobile
BAJAJFINSV,Bajaj Finserv,Financial Services
BAJFINANCE,Bajaj Finance,Financial Services
BHARTIARTL,Bharti Airtel,Telecom
BPCL,Bharat Petroleum,Oil & Gas
BRITANNIA,Britannia Industries,Consumer Goods
CIPLA,Cipla,Pharma
COALINDIA,Coal India,Mining
DIVISLAB,Divi's Laboratories,Pharma
DRREDDY,Dr. Reddy's Laboratories,Pharma
EICHERMOT,Eicher Motors,Automobile
GRASIM,Grasim Industries,Cement
HCLTECH,HCL Technologies,IT
HDFC,HDFC Ltd,Financial Services
HDFCBANK,HDFC Bank,Financial Services
HDFCLIFE,HDFC Life Insurance,Financial Services
HEROMOTOCO,Hero MotoCorp,Automobile
HINDALCO,Hindalco Industries,Metals
HINDUNILVR,Hindustan Unilever,Consumer Goods
ICICIBANK,ICICI Bank,Financial Services
INDUSINDBK,IndusInd Bank,Financial Services
INFY,Infosys,IT
IOC,Indian Oil Corporation,Oil & Gas
ITC,ITC Ltd,Consumer Goods
JSWSTEEL,JSW Steel,Metals
KOTAKBANK,Kotak Mahindra Bank,Financial Services
LT,Larsen & Toubro,Infrastructure
M&M,Mahindra & Mahindra,Automobile
MARUTI,Maruti Suzuki,Automobile
NESTLEIND,Nestle India,Consumer Goods
NTPC,NTPC Ltd,Power
ONGC,Oil & Natural Gas Corp,Oil & Gas
POWERGRID,Power Grid Corp,Power
RELIANCE,Reliance Industries,Oil & Gas
SBILIFE,SBI Life Insurance,Financial Services
SBIN,State Bank of India,Financial Services
SHREECEM,Shree Cement,Cement
SUNPHARMA,Sun Pharma,Pharma
TATACONSUM,Tata Consumer Products,Consumer Goods
TATAMOTORS,Tata Motors,Automobile
TATASTEEL,Tata Steel,Metals
TCS,Tata Consultancy Services,IT
TECHM,Tech Mahindra,IT
TITAN,Titan Company,Consumer Goods
ULTRACEMCO,UltraTech Cement,Cement
UPL,UPL Ltd,Chemicals
WIPRO,Wipro,IT
